step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
230,0.3034055531024933,0.875,,0.249189555644989,0.8802083333333334,,,,,2025-09-11T18:14:41.4070000Z
231,0.3039516508579254,0.859375,,,,,,,,2025-09-11T18:14:43.3340000Z
232,0.26461732387542725,0.8958333134651184,,,,,,,,2025-09-11T18:14:44.5790000Z
233,0.3128247559070587,0.8229166865348816,,,,,,,,2025-09-11T18:14:45.8230000Z
234,0.2583482265472412,0.8854166865348816,,,,,,,,2025-09-11T18:14:47.0550000Z
235,0.2546664774417877,0.90625,,,,,,,,2025-09-11T18:14:48.3010000Z
236,0.27476975321769714,0.8802083134651184,,,,,,,,2025-09-11T18:14:49.5620000Z
237,0.27540475130081177,0.8854166865348816,,,,,,,,2025-09-11T18:14:50.7920000Z
238,0.2958320677280426,0.859375,,,,,,,,2025-09-11T18:14:52.0470000Z
239,0.30477944016456604,0.8697916865348816,,,,,,,,2025-09-11T18:14:52.9920000Z
240,0.29698407649993896,0.890625,,0.3059442937374115,0.8489583333333334,,,,,2025-09-11T18:14:57.7650000Z
241,0.2750333845615387,0.8697916865348816,,,,,,,,2025-09-11T18:14:59.9930000Z
242,0.2862938344478607,0.8697916865348816,,,,,,,,2025-09-11T18:15:00.9280000Z
243,0.3001544773578644,0.859375,,,,,,,,2025-09-11T18:15:02.1660000Z
244,0.2703217566013336,0.8802083134651184,,,,,,,,2025-09-11T18:15:03.4240000Z
245,0.24703924357891083,0.9114583134651184,,,,,,,,2025-09-11T18:15:04.6760000Z
246,0.27703428268432617,0.8697916865348816,,,,,,,,2025-09-11T18:15:05.9140000Z
247,0.2611144483089447,0.9010416865348816,,,,,,,,2025-09-11T18:15:07.1560000Z
248,0.2397071123123169,0.8854166865348816,,,,,,,,2025-09-11T18:15:08.3900000Z
249,0.2997981607913971,0.8489583134651184,,,,,,,,2025-09-11T18:15:09.6270000Z
250,0.2771866023540497,0.8697916865348816,,0.2962525685628255,0.8645833333333334,,,,,2025-09-11T18:15:14.1070000Z
251,0.23663364350795746,0.9010416865348816,,,,,,,,2025-09-11T18:15:16.3280000Z
252,0.21574771404266357,0.9114583134651184,,,,,,,,2025-09-11T18:15:17.2530000Z
253,0.2605288624763489,0.8958333134651184,,,,,,,,2025-09-11T18:15:18.5010000Z
254,0.2668766677379608,0.8802083134651184,,,,,,,,2025-09-11T18:15:19.7450000Z
255,0.31054481863975525,0.8697916865348816,,,,,,,,2025-09-11T18:15:21.0050000Z
256,0.28819990158081055,0.890625,,,,,,,,2025-09-11T18:15:22.2430000Z
257,0.29302433133125305,0.8697916865348816,,,,,,,,2025-09-11T18:15:23.4800000Z
258,0.28465980291366577,0.875,,,,,,,,2025-09-11T18:15:24.4240000Z
259,0.3043140172958374,0.859375,,,,,,,,2025-09-11T18:15:25.6740000Z
260,0.3204614222049713,0.8333333134651184,,0.28800731897354126,0.8697916666666666,,,,,2025-09-11T18:15:30.1480000Z
261,0.3224092125892639,0.859375,,,,,,,,2025-09-11T18:15:32.3860000Z
262,0.29169028997421265,0.8541666865348816,,,,,,,,2025-09-11T18:15:33.3230000Z
263,0.30824756622314453,0.8489583134651184,,,,,,,,2025-09-11T18:15:34.5590000Z
264,0.34931957721710205,0.8177083134651184,,,,,,,,2025-09-11T18:15:35.8110000Z
265,0.28224021196365356,0.875,,,,,,,,2025-09-11T18:15:37.0690000Z
266,0.26333877444267273,0.8854166865348816,,,,,,,,2025-09-11T18:15:38.3180000Z
267,0.2848931849002838,0.8697916865348816,,,,,,,,2025-09-11T18:15:39.5630000Z
268,0.2969076931476593,0.8489583134651184,,,,,,,,2025-09-11T18:15:40.8180000Z
269,0.31629884243011475,0.859375,,,,,,,,2025-09-11T18:15:41.7630000Z
270,0.29590800404548645,0.8802083134651184,,0.2985154986381531,0.8697916666666666,,,,,2025-09-11T18:15:46.5510000Z
271,0.3240230977535248,0.8333333134651184,,,,,,,,2025-09-11T18:15:48.4570000Z
272,0.3051880896091461,0.859375,,,,,,,,2025-09-11T18:15:49.7170000Z
273,0.2924453914165497,0.8697916865348816,,,,,,,,2025-09-11T18:15:50.9790000Z
274,0.3030308187007904,0.84375,,,,,,,,2025-09-11T18:15:52.1660000Z
275,0.3376496732234955,0.8385416865348816,,,,,,,,2025-09-11T18:15:53.4020000Z
276,0.30210766196250916,0.8541666865348816,,,,,,,,2025-09-11T18:15:54.6620000Z
277,0.32328155636787415,0.8229166865348816,,,,,,,,2025-09-11T18:15:55.8970000Z
278,0.27855148911476135,0.8854166865348816,,,,,,,,2025-09-11T18:15:57.1360000Z
279,0.276559054851532,0.875,,,,,,,,2025-09-11T18:15:58.3920000Z
280,0.2990821897983551,0.8802083134651184,,0.33158743381500244,0.8229166666666666,,0.2976161674863555,0.8549877108229511,,2025-09-11T18:21:56.3680000Z
281,0.3014061152935028,0.84375,,,,,,,,2025-09-11T18:22:00.3140000Z
282,0.29774272441864014,0.8489583134651184,,,,,,,,2025-09-11T18:22:00.9950000Z
283,0.24993427097797394,0.8854166865348816,,,,,,,,2025-09-11T18:22:02.6480000Z
284,0.2624839246273041,0.9166666865348816,,,,,,,,2025-09-11T18:22:03.8860000Z
285,0.32274162769317627,0.8541666865348816,,,,,,,,2025-09-11T18:22:05.1290000Z
286,0.2836873233318329,0.84375,,,,,,,,2025-09-11T18:22:06.3780000Z
287,0.31201043725013733,0.8489583134651184,,,,,,,,2025-09-11T18:22:07.6170000Z
288,0.2709752321243286,0.8958333134651184,,,,,,,,2025-09-11T18:22:08.8730000Z
289,0.2812004089355469,0.8541666865348816,,,,,,,,2025-09-11T18:22:13.1060000Z
290,0.266327440738678,0.8802083134651184,,0.2896703282992045,0.8697916666666666,,,,,2025-09-11T18:22:17.6050000Z
291,0.27073097229003906,0.875,,,,,,,,2025-09-11T18:22:19.8170000Z
292,0.30458569526672363,0.828125,,,,,,,,2025-09-11T18:22:21.0720000Z
293,0.26379096508026123,0.8854166865348816,,,,,,,,2025-09-11T18:22:22.3310000Z
294,0.2641998827457428,0.8645833134651184,,,,,,,,2025-09-11T18:22:23.5510000Z
295,0.2951803505420685,0.8802083134651184,,,,,,,,2025-09-11T18:22:24.5130000Z
296,0.29681238532066345,0.8541666865348816,,,,,,,,2025-09-11T18:22:25.7630000Z
297,0.2642139494419098,0.8958333134651184,,,,,,,,2025-09-11T18:22:27.0050000Z
298,0.3116772174835205,0.84375,,,,,,,,2025-09-11T18:22:28.2530000Z
299,0.2679976522922516,0.8645833134651184,,,,,,,,2025-09-11T18:22:29.4890000Z
300,0.25663116574287415,0.8802083134651184,,0.27877651651700336,0.859375,,,,,2025-09-11T18:22:33.9790000Z
301,0.28726619482040405,0.8645833134651184,,,,,,,,2025-09-11T18:22:36.2110000Z
302,0.2996574640274048,0.859375,,,,,,,,2025-09-11T18:22:37.4540000Z
303,0.2717140018939972,0.875,,,,,,,,2025-09-11T18:22:38.4200000Z
304,0.26481571793556213,0.8854166865348816,,,,,,,,2025-09-11T18:22:39.6380000Z
305,0.2859213650226593,0.8645833134651184,,,,,,,,2025-09-11T18:22:40.8900000Z
306,0.2496977299451828,0.890625,,,,,,,,2025-09-11T18:22:42.1350000Z
307,0.3167266547679901,0.8541666865348816,,,,,,,,2025-09-11T18:22:43.3890000Z
308,0.2878560721874237,0.875,,,,,,,,2025-09-11T18:22:44.6470000Z
309,0.29687032103538513,0.8489583134651184,,,,,,,,2025-09-11T18:22:45.9040000Z
310,0.2584528625011444,0.8854166865348816,,0.32845115661621094,0.8333333333333334,,,,,2025-09-11T18:22:50.3850000Z
311,0.23775307834148407,0.90625,,,,,,,,2025-09-11T18:22:52.6040000Z
312,0.2787826955318451,0.859375,,,,,,,,2025-09-11T18:22:53.8770000Z
313,0.28884217143058777,0.8489583134651184,,,,,,,,2025-09-11T18:22:54.8110000Z
314,0.31220200657844543,0.84375,,,,,,,,2025-09-11T18:22:56.0670000Z
315,0.2986392676830292,0.828125,,,,,,,,2025-09-11T18:22:57.3110000Z
316,0.32051825523376465,0.8229166865348816,,,,,,,,2025-09-11T18:22:58.5700000Z
317,0.30933457612991333,0.8697916865348816,,,,,,,,2025-09-11T18:22:59.8170000Z
318,0.26989930868148804,0.875,,,,,,,,2025-09-11T18:23:01.0600000Z
319,0.3481469452381134,0.8072916865348816,,,,,,,,2025-09-11T18:23:02.3070000Z
320,0.3245411515235901,0.84375,,0.34526702761650085,0.84375,,,,,2025-09-11T18:23:06.7900000Z
321,0.3208451271057129,0.8489583134651184,,,,,,,,2025-09-11T18:23:09.0150000Z
322,0.2867795526981354,0.8645833134651184,,,,,,,,2025-09-11T18:23:09.9630000Z
323,0.22825562953948975,0.921875,,,,,,,,2025-09-11T18:23:11.2110000Z
324,0.2769024074077606,0.8697916865348816,,,,,,,,2025-09-11T18:23:12.4560000Z
325,0.29021015763282776,0.875,,,,,,,,2025-09-11T18:23:13.6970000Z
326,0.3028871715068817,0.8697916865348816,,,,,,,,2025-09-11T18:23:14.9530000Z
327,0.3018645942211151,0.8541666865348816,,,,,,,,2025-09-11T18:23:16.2080000Z
328,0.28294768929481506,0.8854166865348816,,,,,,,,2025-09-11T18:23:17.4520000Z
329,0.3152836561203003,0.8645833134651184,,,,,,,,2025-09-11T18:23:18.7110000Z
330,0.3094894587993622,0.8333333134651184,,0.26396066943804425,0.8854166666666666,,,,,2025-09-11T18:23:23.2240000Z
331,0.2701418399810791,0.8697916865348816,,,,,,,,2025-09-11T18:23:25.4240000Z
332,0.302877277135849,0.8489583134651184,,,,,,,,2025-09-11T18:23:26.3810000Z
333,0.31381791830062866,0.8333333134651184,,,,,,,,2025-09-11T18:23:27.6280000Z
334,0.2704482972621918,0.890625,,,,,,,,2025-09-11T18:23:28.8750000Z
335,0.3044337332248688,0.8854166865348816,,,,,,,,2025-09-11T18:23:30.1170000Z
336,0.2873968780040741,0.8802083134651184,,,,,,,,2025-09-11T18:23:31.3640000Z
337,0.2751788794994354,0.8802083134651184,,,,,,,,2025-09-11T18:23:32.6100000Z
